Index,Designation,Predicted Class,Compound,Class,Total Molweight,Total Surface Area,Shape Index,Molecular Flexibility,Molecular Complexity,Rotatable Bonds,sp3-Carbon Fraction
1,TRAIN,,(ð)-Linalool ,A,154.252,143.81,0.72727,0.73984,0.47958,4,0.6
2,TEST,B,(E)-2-Decenal ,A,154.252,154.36,1,0.53591,0.27726,7,0.7
3,TEST,A,(E)-2-Heptenal ,A,112.171,113.08,1,0.56329,0.4621,4,0.57143
4,TEST,B,(E)-2-Hexenal ,B,98.1444,99.32,1,0.52456,0.4621,3,0.5
5,TRAIN,,(E)-2-Hexenyl acetate,A,142.197,133.55,0.9,0.65299,0.48648,5,0.625
6,TEST,A,(E)-2-Nonenal ,A,140.225,140.6,1,0.54213,0.34657,6,0.66667
7,TRAIN,,(E)-2-Octen-1-ol ,A,128.214,127.41,1,0.65123,0.34657,5,0.75
8,TEST,A,(E)-2-Octenal ,A,126.198,126.84,1,0.55149,0.34657,5,0.625
9,TEST,A,(E)-3-Hexenyl acetate,A,142.197,133.55,0.9,0.67534,0.44794,5,0.625
10,TRAIN,,"(E,E)-2,4-Decadienal ",B,152.236,153.34,1,0.4634,0.35835,6,0.5
11,TRAIN,,"(E,E)-2,4-Heptadienal ",B,110.155,112.06,1,0.29875,0.4621,3,0.28571
12,TEST,B,"(E,E)-2,4-Hexadienal ",B,96.1285,98.3,1,0.031661,0.3662,2,0.16667
13,TRAIN,,"(E,E)-2,4-Nonadienal ",B,138.209,139.58,1,0.42211,0.40236,5,0.44444
14,TRAIN,,(Z)-2-Hexenyl acetate,B,142.197,133.55,0.9,0.58354,0.48648,5,0.625
15,TRAIN,,(Z)-3-Hexenol ,A,100.16,99.89,1,0.7069,0.3662,3,0.66667
16,TRAIN,,"1,2,3-Trimethyl-benzene ",A,120.194,110.04,0.55556,0,0.40236,0,0.33333
17,TRAIN,,1-Butanol ,B,74.1224,73.39,1,0.61132,0.34657,2,1
18,TRAIN,,1-Decanol ,B,158.284,155.95,1,0.52482,0.13863,8,1
19,TRAIN,,1-Ethanol ,B,46.0686,45.87,1,0,0,0,1
20,TRAIN,,1-Heptanol ,A,116.203,114.67,1,0.54258,0.23105,5,1
21,TRAIN,,1-Hexanol ,B,102.176,100.91,1,0.55564,0.23105,4,1
22,TEST,A,1-Nonanol ,A,144.257,142.19,1,0.52882,0.17329,7,1
23,TRAIN,,1-Octanol ,A,130.23,128.43,1,0.53489,0.17329,6,1
24,TRAIN,,1-Octen-3-ol ,A,128.214,124.19,0.88889,0.6324,0.40236,5,0.75
25,TEST,A,1-Octen-3-one ,A,126.198,123.09,0.88889,0.64065,0.40236,5,0.625
26,TRAIN,,1-Pentanol ,A,88.1493,87.15,1,0.57357,0.34657,3,1
27,TRAIN,,1.8-Cineole,A,154.252,121.64,0.45455,0.31818,0.56687,0,1
28,TRAIN,,"2,3-Butandiol ",B,90.1214,75.72,0.66667,0.75462,0.34657,1,1
29,TRAIN,,"2,3-Butanedione ",B,86.0896,73.52,0.66667,0.72949,0.34657,1,0.5
30,TRAIN,,"2,4-Dimethyl-3-hexanol ",A,130.23,120.15,0.66667,0.84394,0.40236,3,1
31,TEST,B,2-Decanone ,B,156.268,152.09,0.90909,0.53732,0.21972,7,0.9
32,TRAIN,,2-Heptanone ,B,114.187,110.81,0.875,0.56898,0.3662,4,0.85714
33,TEST,A,2-Hexanol ,A,102.176,98.15,0.85714,0.61516,0.3662,3,1
34,TRAIN,,2-Hexanone ,A,100.16,97.05,0.85714,0.59404,0.3662,3,0.83333
35,TRAIN,,2-Methyl-1-butanol ,B,88.1493,84.39,0.83333,0.75721,0.34657,2,1
36,TEST,B,2-Methyl-1-propanol ,B,74.1224,70.63,0.8,0.68537,0.34657,1,1
37,TRAIN,,2-Nonanone ,A,142.241,138.33,0.9,0.54423,0.27465,6,0.88889
38,TEST,A,2-Octanol ,A,130.23,125.67,0.88889,0.56724,0.27465,5,1
39,TEST,A,2-Octanone ,B,128.214,124.57,0.88889,0.55496,0.27465,5,0.875
40,TRAIN,,2-Pentanone ,B,86.1334,83.29,0.83333,0.63119,0.34657,2,0.8
41,TRAIN,,2-Pentylfuran ,A,138.209,130.25,0.8,0.56031,0.55452,4,0.55556
42,TRAIN,,2-Undecanone ,B,170.295,165.85,0.91667,0.53169,0.21972,8,0.90909
43,TRAIN,,3-Methyl-1-butanol ,A,88.1493,84.39,0.83333,0.74382,0.34657,2,1
44,TRAIN,,3-Octanol ,A,130.23,125.67,0.88889,0.64073,0.27465,5,1
